run,seed,suite,task_id,successes,episodes,success_rate_pct,source
freeze_lora_action_head_spatial,unknown,libero_spatial,0,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,0,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,1,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,1,9,10,90.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,2,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,2,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,3,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,3,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,4,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,4,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,5,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,5,3,10,30.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,6,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,6,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,7,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,7,6,10,60.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,8,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,8,8,10,80.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
freeze_lora_action_head_spatial,unknown,libero_spatial,9,5,10,50.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/freeze_lora_action_head_spatial/eval_info.json
step2_1_spatial_lora_r16,unknown,libero_spatial,9,7,10,70.0,/home/evoild/program/smolVLA_mujoco_LIBERO/eval_results/step2_1_spatial_lora_r16/eval_info.json
